Sampling Site,Cd,Pb,CRingestion,Cd,Pb,Crdermal
S1,6.86691E-05,1.74946E-05,8.61637E-05,4.25221E-06,2.09079E-07,4.46129E-06
S2,3.37637E-05,1.64957E-05,5.02595E-05,3.95554E-06,1.97141E-07,4.15268E-06
S3,3.23088E-05,8.83833E-06,4.11471E-05,5.63664E-06,1.05627E-07,5.74227E-06
S4,3.42638E-05,6.71076E-06,4.09745E-05,1.90855E-05,8.02006E-08,1.91657E-05
S5,4.9342E-05,2.25944E-05,7.19364E-05,2.86777E-06,2.70027E-07,3.13779E-06
S6,4.13626E-05,5.97638E-06,4.7339E-05,6.72442E-06,7.14239E-08,6.79584E-06
S7,0.00010544,6.59968E-06,0.00011204,1.72066E-05,7.88731E-08,1.72855E-05
S8,3.66503E-05,1.5699E-05,5.23494E-05,1.53277E-05,1.8762E-07,1.55153E-05
S9,3.67681E-05,4.97541E-06,4.17435E-05,3.65887E-06,5.94613E-08,3.71834E-06
S10,5.53869E-05,7.70747E-06,6.30944E-05,5.33998E-06,9.21123E-08,5.43209E-06
S11,4.77505E-05,6.45771E-06,5.42082E-05,1.83933E-05,7.71764E-08,1.84704E-05
S12,3.22877E-05,8.97763E-06,4.12653E-05,1.69099E-05,1.07292E-07,1.70172E-05
S13,3.84447E-05,7.93574E-06,4.63804E-05,1.90855E-05,9.48404E-08,1.91803E-05
S14,5.03089E-05,6.66559E-06,5.69745E-05,2.86777E-06,7.96607E-08,2.94743E-06
S15,4.67231E-05,7.42219E-06,5.41453E-05,6.72442E-06,8.8703E-08,6.81312E-06
S16,3.3998E-05,6.60569E-06,4.06037E-05,6.72442E-06,7.89449E-08,6.80336E-06
S17,2.26255E-05,1.14216E-05,3.40471E-05,1.90855E-05,1.365E-07,1.9222E-05
S18,3.99371E-05,1.68422E-05,5.67793E-05,7.7133E-06,2.01282E-07,7.91459E-06
S19,4.07248E-05,6.87962E-06,4.76044E-05,6.42775E-06,8.22186E-08,6.50997E-06
S20,5.15565E-05,9.70001E-06,6.12565E-05,5.93331E-06,1.15925E-07,6.04924E-06
S21,2.98421E-05,7.1392E-06,3.69813E-05,1.73055E-05,8.53209E-08,1.73908E-05
S22,4.14117E-05,6.49579E-06,4.79075E-05,4.54887E-06,7.76315E-08,4.6265E-06
S23,4.8574E-05,6.16539E-06,5.47394E-05,1.5921E-05,7.36829E-08,1.59947E-05
S24,2.84116E-05,8.21048E-06,3.66221E-05,6.82331E-06,9.81238E-08,6.92143E-06
S25,4.94826E-05,7.99958E-06,5.74822E-05,3.75776E-06,9.56033E-08,3.85337E-06
S26,4.15849E-05,8.10032E-06,4.96852E-05,4.54887E-06,9.68072E-08,4.64568E-06
S27,5.61364E-05,6.6416E-06,6.2778E-05,1.73055E-05,7.93741E-08,1.73849E-05
S28,5.13489E-05,9.5037E-06,6.08526E-05,1.90855E-05,1.13579E-07,1.91991E-05
S29,3.97271E-05,6.29453E-06,4.60216E-05,7.7133E-06,7.52263E-08,7.78853E-06
S30,6.69828E-05,9.07059E-06,7.60534E-05,6.42775E-06,1.08403E-07,6.53616E-06
S31,6.04078E-05,8.05546E-06,6.84632E-05,5.93331E-06,9.62711E-08,6.02958E-06
